CAR TYPE,CC AND FUEL TYPE,ASSEMBLER,BRAND,TYPE / MODEL,CC,TRANS,"FUEL (G/D)","TANK CAPT","GVW (Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL BASE","DIMENSION P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Segmt Share,Sedan Share,TOTAL 2020
,,,,XL07 ZETA MT,1462,MT,G,45,1720,4353,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,0,4,4,CKD,INA,51,142,280,64,17,124,90,-,44,89,83,45,"0,3%","0,3%",1.029
,,,,XL07 ZETA AT,1462,AT,G,45,1730,4375,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,0,4,4,CKD,INA,67,234,320,79,18,139,74,-,12,17,85,40,"0,3%","0,3%",1.085
,,,,XL07 BETA MT,1462,MT,G,45,1720,4353,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,0,4,4,CKD,INA,740,485,669,80,18,176,79,-,45,110,159,112,"0,8%","0,7%",2.673
,,,,XL07 BETA AT,1462,AT,G,45,1730,4375,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,0,4,4,CKD,INA,1.218,1.478,1.487,320,105,1.338,2.682,2,1.897,1.915,1.075,987,"4,4%","3,7%",14.504
,,,,XL07 ALPHA MT,1462,MT,G,45,1720,4353,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,0,4,4,CKD,INA,69,112,104,97,31,114,65,116,201,164,138,54,"0,4%","0,3%",1.265
,,,,XL07 ALPHA AT,1462,AT,G,45,1730,4375,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,0,4,4,CKD,INA,255,315,313,148,111,183,186,355,559,408,309,268,"1,0%","0,9%",3.410
,,PT. Toyota Motor Mftg Indonesia,TOYOTA,YARIS G (HIGH GRADE),1500,MT,G,42,1030,4058,185/60R15,109 / 6000,2550,4115X1700X1475,5,4X2,FF,0,5,4,CKD,INA,-,10,7,-,-,-,-,1,14,9,4,1,"0,0%","0,0%",46
,,,,YARIS V (SPORT GRADE),1500,MT,G,42,1030,4058,185/60R15,109 / 6000,2550,4115X1700X1475,5,4X2,FF,0,5,4,CKD,INA,92,134,105,5,-,-,-,1,78,85,46,19,"0,2%","0,1%",565
,,,,YARIS G (HIGH GRADE),1500,CVT,G,42,1030,4058,185/60R15,109 / 6000,2550,4115X1700X1475,5,4X2,FF,0,5,4,CKD,INA,79,70,48,1,-,-,-,1,26,40,33,36,"0,1%","0,1%",334
,,,,YARIS V (SPORT GRADE),1500,CVT,G,42,1030,4058,185/60R15,109 / 6000,2550,4115X1700X1475,5,4X2,FF,0,5,4,CKD,INA,619,578,519,20,-,-,-,15,473,486,395,428,"1,1%","0,9%",3.533
,,,,Sienta 1.5 G M/T,1500,MT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,4,-,2,1,-,-,-,-,1,2,3,-,"0,0%","0,0%",13
,,,,Sienta 1.5 V M/T,1500,MT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,5,4,8,3,2,-,-,-,3,5,5,-,"0,0%","0,0%",35
,,,,Sienta 1.5 E M/T,1500,AT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,-,-,-,2,1,2,-,-,-,-,-,-,"0,0%","0,0%",5
,,,,Sienta 1.5 G M/T,1500,AT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,1,"0,0%","0,0%",1
,,,,Sienta 1.5 G M/T,1500,AT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,36,50,14,1,-,3,7,-,-,-,1,76,"0,1%","0,0%",188
,,,,Sienta 1.5 V M/T,1500,AT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,15,46,39,11,6,-,-,5,26,23,47,8,"0,1%","0,1%",226
,,,,Sienta 1.5 V M/T,1500,AT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,257,134,269,155,39,196,141,-,1,99,1,197,"0,5%","0,4%",1.489
,,,,Sienta 1.5 G M/T,1500,AT,G,0,0,0,185/60 R15,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA,6,21,19,9,4,-,-,1,14,10,21,1,"0,0%","0,0%",106
,,,,AVANZA 1.3 E M/T (UK)+(P3),1300,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,814,1.245,890,55,-,7,62,18,1,-,146,184,"1,0%","0,9%",3.422
,,,,AVANZA 1.3 E M/T non ABS (XR)+(PX),1300,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,122,94,119,9,-,1,11,13,14,57,54,54,"0,2%","0,1%",548
,,,,AVANZA 1.3 Transmover M/T (EE)+(P4)+(5Z),1300,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,306,325,463,24,-,-,-,-,-,-,-,-,"0,3%","0,3%",1.118
,,,,AVANZA 1.3 E A/T (UU)+(V9),1300,AT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,114,123,118,10,-,2,13,4,55,70,53,72,"0,2%","0,2%",634
,,,,AVANZA 1.3 E A/T non ABS (XS)+(W2),1300,AT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,28,21,16,-,-,-,-,-,-,-,4,-,"0,0%","0,0%",69
,,,,AVANZA 1.3 G M/T (UQ)+(UQ)+(V5),1300,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,3.487,2.592,3.054,225,-,32,218,154,251,1.407,1.904,1.370,"4,5%","3,8%",14.694
,,,,AVANZA 1.3 G A/T (UV)+(W3),1300,A/T,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,446,750,694,46,-,4,42,38,303,279,335,517,"1,1%","0,9%",3.454
,,,,AVANZA 1.3 M/T Veloz (UT)+(V8),1300,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,404,401,636,63,-,7,115,26,103,415,352,225,"0,8%","0,7%",2.747
,,,,AVANZA 1.3 A/T Veloz (UX)+(W5),1300,AT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,120,102,232,18,-,3,17,12,99,117,186,138,"0,3%","0,3%",1.044
,,,,AVANZA 1.5 G M/T (WQ)+(WQ)+2K,1500,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,55,73,55,10,-,1,15,7,49,42,39,21,"0,1%","0,1%",367
,,,,AVANZA 1.5 M/T Veloz (WS)+(2P)+(2P),1500,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,632,982,1.027,71,-,10,75,143,745,273,666,767,"1,7%","1,4%",5.391
,,,,AVANZA 1.5 A/T Veloz (WY)+(2V),1500,AT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,206,302,351,48,-,8,91,80,381,127,238,417,"0,7%","0,6%",2.249
,,,,AVANZA EXPORT,1500,0,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA,3.117,2.381,2.606,920,40,2.239,58,535,3.397,2.392,1.358,1.710,"6,4%","5,3%",20.753
,,,,TOWN / LITE,1500,MT,G,43,1840,4875,165R1308PR,88,2650,4045X1665X1900,9,4X2,FR,0,5,4,CKD,INA,1.037,1.280,1.249,311,8,707,788,747,1.773,1.973,1.529,1.761,"4,0%","3,4%",13.163
,,,,RUSH 1.5 G M/T (FB)+(FB),1500,MT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,363,252,237,25,-,5,39,170,152,219,72,141,"0,5%","0,4%",1.675
,,,,RUSH 1.5 G A/T (FL)+(FL),1500,AT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,180,115,66,14,-,4,33,148,155,261,103,91,"0,4%","0,3%",1.170
,,,,RUSH 1.5 S M/T (FA),1500,MT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,1.921,1.544,2.430,208,-,28,280,1.237,1.606,1.254,1.480,1.703,"4,2%","3,5%",13.691
,,,,RUSH 1.5 S A/T (FC),1500,A/T,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,1.642,1.320,1.986,172,-,32,223,835,1.282,1.433,1.314,2.058,"3,8%","3,1%",12.297
,,,,RUSH 1.5 Export,1500,0,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA,4.337,4.795,3.595,1.068,33,1.576,2.298,1.942,2.661,2.738,5.523,4.264,"10,7%","8,9%",34.830
,,PT. SGMW INDONESIA,WULING,Confero S 1.5,1500,MT,G,42,"4,889",0,195/60 R15,107,2720,4493X1691X1715,7,4X2,FR,0,5,4,CKD,INA,242,458,700,260,-,-,-,77,-,-,-,1,"0,5%","0,4%",1.738
,,,,Confero S 1.5C,1500,MT,G,42,"4,889",0,195/60 R15,107,2720,4530X1691X1730,7,4X2,FR,0,5,4,CKD,INA,40,120,50,-,-,-,-,-,-,68,187,153,"0,2%","0,2%",618
,,,,Confero S 1.5L,1500,MT,G,42,"4,889",0,195/60 R15,107,2720,4530X1691X1730,7,4X2,FR,0,5,4,CKD,INA,69,200,85,-,-,-,-,-,-,55,300,11,"0,2%","0,2%",720
,,,,Confero S 1.5L ACT,1500,MT,G,42,0,"4,889",195/60 R15,107,2720,4530X1691X1730,0,4X2,FR,0,5,4,CKD,INA,30,30,50,-,-,-,-,2,-,50,30,-,"0,1%","0,0%",192
,,,,Cortez 1.5C T MT,1500,MT,G,0,0,0,0,0,0,0,0,0,0,0,5,4,CKD,INA,50,50,19,1,-,-,-,20,-,-,25,-,"0,1%","0,0%",165
,,,,Cortez 1.5C T CVT,1500,AT,G,52,0,4058,205/55 R16,129,2750,4780X1816X1755,0,4X2,FF,0,5,4,CKD,INA,40,202,25,5,-,-,-,-,-,-,10,46,"0,1%","0,1%",328
,,,,Cortez 1.5L T CVT,1500,AT,G,52,0,4058,205/55 R16,129,2750,4780X1816X1755,0,4X2,FF,0,5,4,CKD,INA,120,143,89,101,-,-,-,1,-,-,17,50,"0,2%","0,1%",521
,,,,Cortez 1.5L T CVT,1500,AT,G,52,0,4058,205/55 R16,129,2750,4780X1816X1755,0,4X2,FF,0,5,4,CKD,INA,-,-,-,-,-,-,288,-,-,-,50,52,"0,1%","0,1%",390
,,,,Formo 1.2 BV,1200,MT,G,42,0,"4,889",195/60 R15,107,2720,4530X1691X1730,0,4X2,FR,0,5,4,CKD,INA,22,77,-,-,-,-,98,52,-,-,-,70,"0,1%","0,1%",319
,,,,Formo 1.2,1200,MT,G,42,0,"4,889",195/60 R15,107,2720,4530X1691X1730,0,4X2,FR,0,5,4,CKD,INA,2,-,-,-,-,-,-,-,-,-,-,-,"0,0%","0,0%",2
,,,,Almaz 1.5E+ T CVT,1500,AT,G,0,0,0,0,0,0,0,0,4X2,FR,0,5,4,CKD,INA,425,-,1.014,4,-,-,-,-,-,40,90,1,"0,5%","0,4%",1.574
,,,,Almaz 1.5SE T CVT,1500,AT,G,0,0,0,0,0,0,0,0,4X2,FR,0,5,4,CKD,INA,50,-,-,-,-,-,-,-,-,17,114,50,"0,1%","0,1%",231
,,,,Almaz 1.5SE T MT,1500,MT,G,0,0,0,0,0,0,0,0,4X2,FR,0,5,4,CKD,INA,17,-,-,-,-,-,-,-,-,-,20,20,"0,0%","0,0%",57
,,,,Captiva 1.5 T LV1 + CVT (4x2) A/T,1500,MT,G,0,0,0,0,0,0,0,0,4X2,FR,0,5,4,CKD,INA,173,-,-,-,-,-,-,-,-,-,-,-,"0,1%","0,0%",173
,,,,Captiva 1.5 T LV2 + CVT (4x2) A/T,1500,MT,G,0,0,0,0,0,0,0,0,4X2,FR,0,5,4,CKD,INA,288,-,-,-,-,-,-,-,-,-,-,-,"0,1%","0,1%",288
